raw_var,description
PGI_XDISORDER_PGC13,PGI Mental Health Cross-Disorder (PGC13)
PHYABUSE,Been physically abused by parents before age 18
PHYS_ACTIVITY_MILD,Current frequency of mild physical activity
PHYS_ACTIVITY_MODERATE,Current frequency of moderate physical activity
PHYS_ACTIVITY_VIGOROUS,Current frequency of vigorous physical activity
PHY_EMOT_PROB_FAM,Ongoing emotional/physical problems in family
PN,PN
PREVMOV,Ever been unfairly denied to buy or rent a house
PRIVATE_SCHOOL,Attended Private School
PRIVATE_UNI,Attended Private University
RACE,Race
RAEDUC,Highest Degree of Education
RAEVBRN,Number of Children Ever Born
RAEVBRN_CAT,Number of Children Ever Born Categorical
RELATIONSHIP_PROB,Ongoing problems in a close relationships
RELATIONSHIP_SPOUSE,Closeness to spouse
RELATIVES_NEIGHBORHOOD,Relatives living in the neighborhood
RELWFA,Had a good relationship with father before age 18
RELWMO,Had a good relationship with mother before age 18
ROBBED_5Y_AGG,Been robbed in the last 5 years
RTHLTHCH,Rate childhood health
SCHLOVER,Repeated a school year
SCHLYRS,Number of years in school
SICK_FAM,Currently helping a sick family member or friend
SPOUSE_NEG_SUPPORT_CAT,Spouse Negative Support
SPOUSE_POS_SUPPORT_CAT,Spouse Positive Support
SUPERVISOR_SUPPORT_CAT,Supervisor Support
TEACHMO,How much their mother taught them about life
TRPOLICE,Were in trouble with the police before age 18
UNEMPLOYED_5Y_AGG,Unemployed in the last 5 years
UNFPOLICE,Ever been unfairly treated by the police
USBORN,Born In The US
WEIGHT_KG,Weight
WHITE_BINARY,Non-Hispanic White
WORK_DIFF_YRSLF,Ongoing Work Difficulties
WORK_ENV_CAT,Working Environment
